bbox,comparison,attribute,freq_nlp,freq_have_bboxes
aortic arch,worsened,nlp|yes|abnormal,114,113
aortic arch,worsened,nlp|yes|normal,1,1
aortic arch,worsened,technicalassessment|yes|artifact,1,1
cardiac silhouette,improved,anatomicalfinding|yes|enlarged cardiac silhouette,959,959
cardiac silhouette,improved,anatomicalfinding|yes|mediastinal displacement,5,5
cardiac silhouette,improved,anatomicalfinding|yes|pneumomediastinum,11,11
cardiac silhouette,improved,anatomicalfinding|yes|vascular calcification,2,2
cardiac silhouette,improved,disease|yes|fluid overload/heart failure,357,357
cardiac silhouette,improved,disease|yes|pericardial effusion,31,31
cardiac silhouette,improved,nlp|yes|abnormal,1409,1409
cardiac silhouette,improved,nlp|yes|normal,275,275
cardiac silhouette,improved,technicalassessment|yes|low lung volumes,7,7
cardiac silhouette,improved,technicalassessment|yes|rotated,1,1
cardiac silhouette,improved;;no change,anatomicalfinding|yes|enlarged cardiac silhouette,362,362
cardiac silhouette,improved;;no change,anatomicalfinding|yes|mediastinal displacement,2,2
cardiac silhouette,improved;;no change,anatomicalfinding|yes|pneumomediastinum,3,3
cardiac silhouette,improved;;no change,disease|yes|fluid overload/heart failure,26,26
cardiac silhouette,improved;;no change,disease|yes|pericardial effusion,5,5
cardiac silhouette,improved;;no change,nlp|yes|abnormal,393,393
cardiac silhouette,improved;;no change,nlp|yes|normal,34,34
cardiac silhouette,improved;;no change,technicalassessment|yes|low lung volumes,5,5
cardiac silhouette,improved;;no change;;worsened,anatomicalfinding|yes|enlarged cardiac silhouette,13,13
cardiac silhouette,improved;;no change;;worsened,disease|yes|fluid overload/heart failure,2,2
cardiac silhouette,improved;;no change;;worsened,nlp|yes|abnormal,14,14
cardiac silhouette,improved;;no change;;worsened,nlp|yes|normal,1,1
cardiac silhouette,improved;;worsened,anatomicalfinding|yes|enlarged cardiac silhouette,55,55
cardiac silhouette,improved;;worsened,anatomicalfinding|yes|mediastinal displacement,6,6
cardiac silhouette,improved;;worsened,disease|yes|fluid overload/heart failure,14,14
cardiac silhouette,improved;;worsened,disease|yes|pericardial effusion,6,6
cardiac silhouette,improved;;worsened,nlp|yes|abnormal,119,119
cardiac silhouette,improved;;worsened,nlp|yes|normal,7,7
cardiac silhouette,improved;;worsened,technicalassessment|yes|low lung volumes,1,1
cardiac silhouette,no change,anatomicalfinding|yes|enlarged cardiac silhouette,28838,28829
cardiac silhouette,no change,anatomicalfinding|yes|hernia,89,89
cardiac silhouette,no change,anatomicalfinding|yes|mediastinal displacement,183,183
cardiac silhouette,no change,anatomicalfinding|yes|pneumomediastinum,34,34
cardiac silhouette,no change,anatomicalfinding|yes|vascular calcification,619,619
cardiac silhouette,no change,disease|yes|fluid overload/heart failure,982,982
cardiac silhouette,no change,disease|yes|pericardial effusion,346,346
cardiac silhouette,no change,nlp|yes|abnormal,31441,31431
cardiac silhouette,no change,nlp|yes|normal,5576,5574
cardiac silhouette,no change,technicalassessment|yes|low lung volumes,538,538
cardiac silhouette,no change,technicalassessment|yes|rotated,96,96
cardiac silhouette,no change;;worsened,anatomicalfinding|yes|enlarged cardiac silhouette,346,346
cardiac silhouette,no change;;worsened,anatomicalfinding|yes|mediastinal displacement,1,1
cardiac silhouette,no change;;worsened,anatomicalfinding|yes|pneumomediastinum,1,1
cardiac silhouette,no change;;worsened,disease|yes|fluid overload/heart failure,28,28
cardiac silhouette,no change;;worsened,disease|yes|pericardial effusion,15,15
cardiac silhouette,no change;;worsened,nlp|yes|abnormal,415,415
cardiac silhouette,no change;;worsened,nlp|yes|normal,14,14
cardiac silhouette,no change;;worsened,technicalassessment|yes|low lung volumes,5,5
cardiac silhouette,no change;;worsened,technicalassessment|yes|rotated,2,2
cardiac silhouette,worsened,anatomicalfinding|yes|enlarged cardiac silhouette,2379,2379
cardiac silhouette,worsened,anatomicalfinding|yes|hernia,5,5
cardiac silhouette,worsened,anatomicalfinding|yes|mediastinal displacement,47,47
cardiac silhouette,worsened,anatomicalfinding|yes|pneumomediastinum,10,10
cardiac silhouette,worsened,anatomicalfinding|yes|vascular calcification,5,5
cardiac silhouette,worsened,disease|yes|fluid overload/heart failure,1101,1100
cardiac silhouette,worsened,disease|yes|pericardial effusion,197,197
cardiac silhouette,worsened,nlp|yes|abnormal,4294,4293
cardiac silhouette,worsened,nlp|yes|normal,263,263
cardiac silhouette,worsened,technicalassessment|yes|artifact,2,2
cardiac silhouette,worsened,technicalassessment|yes|low lung volumes,213,213
cardiac silhouette,worsened,technicalassessment|yes|rotated,19,19
carina,no change,nlp|yes|abnormal,15,15
carina,no change,nlp|yes|normal,2,2
carina,worsened,nlp|yes|abnormal,10,10
carina,worsened,nlp|yes|normal,1,1
cavoatrial junction,no change,nlp|yes|abnormal,2,2
cavoatrial junction,no change,nlp|yes|normal,1,1
cavoatrial junction,worsened,nlp|yes|normal,1,1
left apical zone,improved,anatomicalfinding|yes|calcified nodule,1,1
left apical zone,improved,anatomicalfinding|yes|cyst/bullae,5,5
left apical zone,improved,anatomicalfinding|yes|hydropneumothorax,22,20
left apical zone,improved,anatomicalfinding|yes|lung lesion,10,9
left apical zone,improved,anatomicalfinding|yes|lung opacity,173,165
left apical zone,improved,anatomicalfinding|yes|mass/nodule (not otherwise specified),8,7
left apical zone,improved,anatomicalfinding|yes|multiple masses/nodules,1,1
left apical zone,improved,anatomicalfinding|yes|pleural/parenchymal scarring,18,16
left apical zone,improved,anatomicalfinding|yes|pneumothorax,455,440
left apical zone,improved,disease|yes|aspiration,2,2
left apical zone,improved,disease|yes|granulomatous disease,2,2
left apical zone,improved,disease|yes|pneumonia,4,4
left apical zone,improved,nlp|yes|abnormal,584,564
left apical zone,improved,nlp|yes|normal,13,13
left apical zone,improved;;no change,anatomicalfinding|yes|cyst/bullae,1,1
left apical zone,improved;;no change,anatomicalfinding|yes|hydropneumothorax,1,1
left apical zone,improved;;no change,anatomicalfinding|yes|lung lesion,1,1
left apical zone,improved;;no change,anatomicalfinding|yes|lung opacity,45,40
left apical zone,improved;;no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),1,1
left apical zone,improved;;no change,anatomicalfinding|yes|pneumothorax,23,23
left apical zone,improved;;no change,nlp|yes|abnormal,60,55
left apical zone,improved;;no change;;worsened,anatomicalfinding|yes|lung opacity,1,1
left apical zone,improved;;no change;;worsened,nlp|yes|abnormal,1,1
left apical zone,improved;;worsened,anatomicalfinding|yes|hydropneumothorax,1,1
left apical zone,improved;;worsened,anatomicalfinding|yes|lung opacity,44,42
left apical zone,improved;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,3,3
left apical zone,improved;;worsened,anatomicalfinding|yes|pneumothorax,24,23
left apical zone,improved;;worsened,disease|yes|pneumonia,1,1
left apical zone,improved;;worsened,nlp|yes|abnormal,49,47
left apical zone,improved;;worsened,nlp|yes|normal,1,1
left apical zone,no change,anatomicalfinding|yes|calcified nodule,75,72
left apical zone,no change,anatomicalfinding|yes|cyst/bullae,51,49
left apical zone,no change,anatomicalfinding|yes|hydropneumothorax,62,58
left apical zone,no change,anatomicalfinding|yes|lung lesion,183,175
left apical zone,no change,anatomicalfinding|yes|lung opacity,1711,1618
left apical zone,no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),90,89
left apical zone,no change,anatomicalfinding|yes|multiple masses/nodules,30,26
left apical zone,no change,anatomicalfinding|yes|pleural/parenchymal scarring,1037,979
left apical zone,no change,anatomicalfinding|yes|pneumothorax,1197,1134
left apical zone,no change,disease|yes|granulomatous disease,92,89
left apical zone,no change,disease|yes|lung cancer,7,7
left apical zone,no change,disease|yes|pneumonia,36,32
left apical zone,no change,nlp|yes|abnormal,2734,2586
left apical zone,no change,nlp|yes|normal,61,54
left apical zone,no change;;worsened,anatomicalfinding|yes|cyst/bullae,2,2
left apical zone,no change;;worsened,anatomicalfinding|yes|lung opacity,37,37
left apical zone,no change;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,13,13
left apical zone,no change;;worsened,anatomicalfinding|yes|pneumothorax,17,17
left apical zone,no change;;worsened,disease|yes|pneumonia,4,4
left apical zone,no change;;worsened,nlp|yes|abnormal,43,43
left apical zone,worsened,anatomicalfinding|yes|cyst/bullae,2,2
left apical zone,worsened,anatomicalfinding|yes|hydropneumothorax,22,20
left apical zone,worsened,anatomicalfinding|yes|lung lesion,18,18
left apical zone,worsened,anatomicalfinding|yes|lung opacity,299,277
left apical zone,worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),9,9
left apical zone,worsened,anatomicalfinding|yes|multiple masses/nodules,5,5
left apical zone,worsened,anatomicalfinding|yes|pleural/parenchymal scarring,27,25
left apical zone,worsened,anatomicalfinding|yes|pneumothorax,362,351
left apical zone,worsened,disease|yes|aspiration,3,3
left apical zone,worsened,disease|yes|lung cancer,5,5
left apical zone,worsened,disease|yes|pneumonia,46,44
left apical zone,worsened,nlp|yes|abnormal,675,642
left apical zone,worsened,nlp|yes|normal,4,4
left clavicle,improved,anatomicalfinding|yes|clavicle fracture,2,2
left clavicle,improved,nlp|yes|abnormal,3,3
left clavicle,improved,technicalassessment|yes|rotated,13,13
left clavicle,improved;;no change,technicalassessment|yes|rotated,1,1
left clavicle,improved;;worsened,technicalassessment|yes|rotated,1,1
left clavicle,no change,anatomicalfinding|yes|bone lesion,76,75
left clavicle,no change,anatomicalfinding|yes|clavicle fracture,119,117
left clavicle,no change,anatomicalfinding|yes|shoulder osteoarthritis,36,36
left clavicle,no change,nlp|yes|abnormal,305,302
left clavicle,no change,nlp|yes|normal,17,17
left clavicle,no change,technicalassessment|yes|rotated,148,145
left clavicle,no change;;worsened,technicalassessment|yes|rotated,2,2
left clavicle,worsened,anatomicalfinding|yes|bone lesion,9,9
left clavicle,worsened,anatomicalfinding|yes|clavicle fracture,4,4
left clavicle,worsened,anatomicalfinding|yes|shoulder osteoarthritis,1,1
left clavicle,worsened,nlp|yes|abnormal,32,32
left clavicle,worsened,nlp|yes|normal,2,2
left clavicle,worsened,technicalassessment|yes|rotated,101,99
left costophrenic angle,improved,anatomicalfinding|yes|airspace opacity,9,9
left costophrenic angle,improved,anatomicalfinding|yes|atelectasis,119,118
left costophrenic angle,improved,anatomicalfinding|yes|consolidation,19,19
left costophrenic angle,improved,anatomicalfinding|yes|costophrenic angle blunting,86,86
left costophrenic angle,improved,anatomicalfinding|yes|hydropneumothorax,52,49
left costophrenic angle,improved,anatomicalfinding|yes|infiltration,3,3
left costophrenic angle,improved,anatomicalfinding|yes|linear/patchy atelectasis,7,7
left costophrenic angle,improved,anatomicalfinding|yes|lung lesion,8,7
left costophrenic angle,improved,anatomicalfinding|yes|lung opacity,4780,4699
left costophrenic angle,improved,anatomicalfinding|yes|mass/nodule (not otherwise specified),7,6
left costophrenic angle,improved,anatomicalfinding|yes|pleural effusion,4640,4559
left costophrenic angle,improved,anatomicalfinding|yes|pleural/parenchymal scarring,22,22
left costophrenic angle,improved,anatomicalfinding|yes|pneumothorax,68,63
left costophrenic angle,improved,anatomicalfinding|yes|pulmonary edema/hazy opacity,110,108
left costophrenic angle,improved,disease|yes|fluid overload/heart failure,9,9
left costophrenic angle,improved,disease|yes|lung cancer,1,1
left costophrenic angle,improved,nlp|yes|abnormal,4769,4688
left costophrenic angle,improved,nlp|yes|normal,92,91
left costophrenic angle,improved;;no change,anatomicalfinding|yes|atelectasis,43,43
left costophrenic angle,improved;;no change,anatomicalfinding|yes|consolidation,7,7
left costophrenic angle,improved;;no change,anatomicalfinding|yes|costophrenic angle blunting,8,8
left costophrenic angle,improved;;no change,anatomicalfinding|yes|hydropneumothorax,4,4
left costophrenic angle,improved;;no change,anatomicalfinding|yes|lung opacity,648,641
left costophrenic angle,improved;;no change,anatomicalfinding|yes|pleural effusion,621,614
left costophrenic angle,improved;;no change,anatomicalfinding|yes|pleural/parenchymal scarring,2,2
left costophrenic angle,improved;;no change,anatomicalfinding|yes|pneumothorax,4,4
left costophrenic angle,improved;;no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,36,36
left costophrenic angle,improved;;no change,nlp|yes|abnormal,646,639
left costophrenic angle,improved;;no change,nlp|yes|normal,5,5
left costophrenic angle,improved;;no change;;worsened,anatomicalfinding|yes|lung opacity,45,43
left costophrenic angle,improved;;no change;;worsened,anatomicalfinding|yes|pleural effusion,45,43
left costophrenic angle,improved;;no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,4,4
left costophrenic angle,improved;;no change;;worsened,nlp|yes|abnormal,45,43
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|atelectasis,23,23
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|consolidation,4,4
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|costophrenic angle blunting,1,1
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|hydropneumothorax,7,7
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|infiltration,1,1
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,2,2
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|lung lesion,2,2
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|lung opacity,435,426
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|multiple masses/nodules,2,2
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|pleural effusion,423,414
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|pneumothorax,11,11
left costophrenic angle,improved;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,24,24
left costophrenic angle,improved;;worsened,disease|yes|fluid overload/heart failure,5,5
left costophrenic angle,improved;;worsened,disease|yes|lung cancer,2,2
left costophrenic angle,improved;;worsened,nlp|yes|abnormal,436,427
left costophrenic angle,improved;;worsened,nlp|yes|normal,1,1
left costophrenic angle,no change,anatomicalfinding|yes|airspace opacity,34,34
left costophrenic angle,no change,anatomicalfinding|yes|atelectasis,727,714
left costophrenic angle,no change,anatomicalfinding|yes|calcified nodule,6,6
left costophrenic angle,no change,anatomicalfinding|yes|consolidation,156,152
left costophrenic angle,no change,anatomicalfinding|yes|costophrenic angle blunting,779,775
left costophrenic angle,no change,anatomicalfinding|yes|hydropneumothorax,177,173
left costophrenic angle,no change,anatomicalfinding|yes|infiltration,6,6
left costophrenic angle,no change,anatomicalfinding|yes|linear/patchy atelectasis,56,55
left costophrenic angle,no change,anatomicalfinding|yes|lung lesion,29,29
left costophrenic angle,no change,anatomicalfinding|yes|lung opacity,18210,17989
left costophrenic angle,no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),20,20
left costophrenic angle,no change,anatomicalfinding|yes|multiple masses/nodules,3,3
left costophrenic angle,no change,anatomicalfinding|yes|pleural effusion,17871,17658
left costophrenic angle,no change,anatomicalfinding|yes|pleural/parenchymal scarring,263,263
left costophrenic angle,no change,anatomicalfinding|yes|pneumothorax,213,209
left costophrenic angle,no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,419,406
left costophrenic angle,no change,disease|yes|fluid overload/heart failure,35,35
left costophrenic angle,no change,disease|yes|lung cancer,27,27
left costophrenic angle,no change,nlp|yes|abnormal,17954,17733
left costophrenic angle,no change,nlp|yes|normal,908,902
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|atelectasis,20,20
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|consolidation,7,7
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|costophrenic angle blunting,4,4
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|hydropneumothorax,2,2
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|lung opacity,525,519
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|pleural effusion,519,513
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,1,1
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|pneumothorax,8,8
left costophrenic angle,no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,22,22
left costophrenic angle,no change;;worsened,disease|yes|fluid overload/heart failure,1,1
left costophrenic angle,no change;;worsened,nlp|yes|abnormal,521,515
left costophrenic angle,no change;;worsened,nlp|yes|normal,4,4
left costophrenic angle,worsened,anatomicalfinding|yes|airspace opacity,19,19
left costophrenic angle,worsened,anatomicalfinding|yes|atelectasis,392,382
left costophrenic angle,worsened,anatomicalfinding|yes|consolidation,137,133
left costophrenic angle,worsened,anatomicalfinding|yes|costophrenic angle blunting,239,232
left costophrenic angle,worsened,anatomicalfinding|yes|hydropneumothorax,57,55
left costophrenic angle,worsened,anatomicalfinding|yes|infiltration,11,11
left costophrenic angle,worsened,anatomicalfinding|yes|linear/patchy atelectasis,26,26
left costophrenic angle,worsened,anatomicalfinding|yes|lung lesion,23,23
left costophrenic angle,worsened,anatomicalfinding|yes|lung opacity,9654,9524
left costophrenic angle,worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),19,19
left costophrenic angle,worsened,anatomicalfinding|yes|multiple masses/nodules,2,2
left costophrenic angle,worsened,anatomicalfinding|yes|pleural effusion,9478,9346
left costophrenic angle,worsened,anatomicalfinding|yes|pleural/parenchymal scarring,15,15
left costophrenic angle,worsened,anatomicalfinding|yes|pneumothorax,74,72
left costophrenic angle,worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,415,409
left costophrenic angle,worsened,disease|yes|fluid overload/heart failure,46,45
left costophrenic angle,worsened,disease|yes|lung cancer,8,7
left costophrenic angle,worsened,nlp|yes|abnormal,9639,9510
left costophrenic angle,worsened,nlp|yes|normal,49,48
left hemidiaphragm,improved,anatomicalfinding|yes|elevated hemidiaphragm,50,48
left hemidiaphragm,improved,anatomicalfinding|yes|hernia,13,13
left hemidiaphragm,improved,anatomicalfinding|yes|hyperaeration,7,7
left hemidiaphragm,improved,anatomicalfinding|yes|sub-diaphragmatic air,84,84
left hemidiaphragm,improved,disease|yes|copd/emphysema,2,2
left hemidiaphragm,improved,nlp|yes|abnormal,173,171
left hemidiaphragm,improved,nlp|yes|normal,15,15
left hemidiaphragm,improved;;no change,anatomicalfinding|yes|diaphragmatic eventration (benign),1,1
left hemidiaphragm,improved;;no change,anatomicalfinding|yes|elevated hemidiaphragm,12,12
left hemidiaphragm,improved;;no change,anatomicalfinding|yes|hernia,1,1
left hemidiaphragm,improved;;no change,anatomicalfinding|yes|sub-diaphragmatic air,4,4
left hemidiaphragm,improved;;no change,nlp|yes|abnormal,18,18
left hemidiaphragm,improved;;no change,nlp|yes|normal,1,1
left hemidiaphragm,improved;;no change;;worsened,anatomicalfinding|yes|elevated hemidiaphragm,1,1
left hemidiaphragm,improved;;no change;;worsened,nlp|yes|abnormal,1,1
left hemidiaphragm,improved;;worsened,anatomicalfinding|yes|elevated hemidiaphragm,12,12
left hemidiaphragm,improved;;worsened,nlp|yes|abnormal,27,27
left hemidiaphragm,no change,anatomicalfinding|yes|diaphragmatic eventration (benign),3,3
left hemidiaphragm,no change,anatomicalfinding|yes|elevated hemidiaphragm,1126,1122
left hemidiaphragm,no change,anatomicalfinding|yes|hernia,753,751
left hemidiaphragm,no change,anatomicalfinding|yes|hyperaeration,286,286
left hemidiaphragm,no change,anatomicalfinding|yes|sub-diaphragmatic air,169,169
left hemidiaphragm,no change,disease|yes|copd/emphysema,132,132
left hemidiaphragm,no change,nlp|yes|abnormal,2639,2631
left hemidiaphragm,no change,nlp|yes|normal,41,41
left hemidiaphragm,no change;;worsened,anatomicalfinding|yes|elevated hemidiaphragm,17,16
left hemidiaphragm,no change;;worsened,anatomicalfinding|yes|hernia,5,5
left hemidiaphragm,no change;;worsened,anatomicalfinding|yes|hyperaeration,2,2
left hemidiaphragm,no change;;worsened,anatomicalfinding|yes|sub-diaphragmatic air,1,1
left hemidiaphragm,no change;;worsened,nlp|yes|abnormal,36,35
left hemidiaphragm,worsened,anatomicalfinding|yes|diaphragmatic eventration (benign),1,1
left hemidiaphragm,worsened,anatomicalfinding|yes|elevated hemidiaphragm,181,178
left hemidiaphragm,worsened,anatomicalfinding|yes|hernia,45,45
left hemidiaphragm,worsened,anatomicalfinding|yes|hyperaeration,66,66
left hemidiaphragm,worsened,anatomicalfinding|yes|sub-diaphragmatic air,105,104
left hemidiaphragm,worsened,disease|yes|copd/emphysema,24,24
left hemidiaphragm,worsened,nlp|yes|abnormal,944,938
left hemidiaphragm,worsened,nlp|yes|normal,23,23
left hemidiaphragm,worsened,technicalassessment|yes|artifact,1,1
left hilar structures,improved,anatomicalfinding|yes|airspace opacity,107,100
left hilar structures,improved,anatomicalfinding|yes|atelectasis,125,114
left hilar structures,improved,anatomicalfinding|yes|bronchiectasis,3,3
left hilar structures,improved,anatomicalfinding|yes|calcified nodule,3,3
left hilar structures,improved,anatomicalfinding|yes|consolidation,128,118
left hilar structures,improved,anatomicalfinding|yes|cyst/bullae,2,2
left hilar structures,improved,anatomicalfinding|yes|enlarged hilum,217,210
left hilar structures,improved,anatomicalfinding|yes|infiltration,25,24
left hilar structures,improved,anatomicalfinding|yes|linear/patchy atelectasis,15,15
left hilar structures,improved,anatomicalfinding|yes|lung lesion,37,36
left hilar structures,improved,anatomicalfinding|yes|lung opacity,8214,7683
left hilar structures,improved,anatomicalfinding|yes|mass/nodule (not otherwise specified),25,25
left hilar structures,improved,anatomicalfinding|yes|multiple masses/nodules,4,3
left hilar structures,improved,anatomicalfinding|yes|pleural/parenchymal scarring,16,16
left hilar structures,improved,anatomicalfinding|yes|pneumomediastinum,96,94
left hilar structures,improved,anatomicalfinding|yes|pulmonary edema/hazy opacity,6057,5643
left hilar structures,improved,anatomicalfinding|yes|vascular congestion,2351,2232
left hilar structures,improved,anatomicalfinding|yes|vascular redistribution,45,45
left hilar structures,improved,disease|yes|aspiration,26,23
left hilar structures,improved,disease|yes|copd/emphysema,9,9
left hilar structures,improved,disease|yes|fluid overload/heart failure,51,50
left hilar structures,improved,disease|yes|granulomatous disease,1,1
left hilar structures,improved,disease|yes|lung cancer,2,2
left hilar structures,improved,disease|yes|pneumonia,110,106
left hilar structures,improved,nlp|yes|abnormal,8373,7840
left hilar structures,improved,nlp|yes|normal,472,451
left hilar structures,improved,technicalassessment|yes|artifact,1,1
left hilar structures,improved;;no change,anatomicalfinding|yes|airspace opacity,8,8
left hilar structures,improved;;no change,anatomicalfinding|yes|atelectasis,40,36
left hilar structures,improved;;no change,anatomicalfinding|yes|bronchiectasis,1,1
left hilar structures,improved;;no change,anatomicalfinding|yes|consolidation,34,32
left hilar structures,improved;;no change,anatomicalfinding|yes|cyst/bullae,1,0
left hilar structures,improved;;no change,anatomicalfinding|yes|enlarged hilum,34,32
left hilar structures,improved;;no change,anatomicalfinding|yes|infiltration,4,4
left hilar structures,improved;;no change,anatomicalfinding|yes|linear/patchy atelectasis,3,3
left hilar structures,improved;;no change,anatomicalfinding|yes|lung lesion,9,7
left hilar structures,improved;;no change,anatomicalfinding|yes|lung opacity,1004,943
left hilar structures,improved;;no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),6,4
left hilar structures,improved;;no change,anatomicalfinding|yes|multiple masses/nodules,2,2
left hilar structures,improved;;no change,anatomicalfinding|yes|pleural/parenchymal scarring,1,1
left hilar structures,improved;;no change,anatomicalfinding|yes|pneumomediastinum,8,8
left hilar structures,improved;;no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,749,705
left hilar structures,improved;;no change,anatomicalfinding|yes|vascular congestion,326,304
left hilar structures,improved;;no change,anatomicalfinding|yes|vascular redistribution,4,3
left hilar structures,improved;;no change,disease|yes|aspiration,2,2
left hilar structures,improved;;no change,disease|yes|copd/emphysema,2,1
left hilar structures,improved;;no change,disease|yes|fluid overload/heart failure,8,7
left hilar structures,improved;;no change,disease|yes|lung cancer,1,1
left hilar structures,improved;;no change,disease|yes|pneumonia,18,16
left hilar structures,improved;;no change,nlp|yes|abnormal,1019,958
left hilar structures,improved;;no change,nlp|yes|normal,33,32
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|airspace opacity,1,1
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|atelectasis,8,6
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|consolidation,3,3
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|enlarged hilum,1,1
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|infiltration,4,3
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,2,2
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|lung opacity,83,74
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,69,63
left hilar structures,improved;;no change;;worsened,anatomicalfinding|yes|vascular congestion,8,8
left hilar structures,improved;;no change;;worsened,disease|yes|aspiration,2,2
left hilar structures,improved;;no change;;worsened,disease|yes|pneumonia,2,2
left hilar structures,improved;;no change;;worsened,nlp|yes|abnormal,82,73
left hilar structures,improved;;worsened,anatomicalfinding|yes|airspace opacity,13,12
left hilar structures,improved;;worsened,anatomicalfinding|yes|atelectasis,38,38
left hilar structures,improved;;worsened,anatomicalfinding|yes|consolidation,37,37
left hilar structures,improved;;worsened,anatomicalfinding|yes|cyst/bullae,1,1
left hilar structures,improved;;worsened,anatomicalfinding|yes|enlarged hilum,16,15
left hilar structures,improved;;worsened,anatomicalfinding|yes|infiltration,8,8
left hilar structures,improved;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,7,7
left hilar structures,improved;;worsened,anatomicalfinding|yes|lung lesion,1,1
left hilar structures,improved;;worsened,anatomicalfinding|yes|lung opacity,616,591
left hilar structures,improved;;worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),1,1
left hilar structures,improved;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,2,2
